organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,collector,collection_id,hakai_id,sample_type,depth,transect_dist,collected_start,collected_end,species,quantity,length_cm,estimated_quantity,comments,quality_log
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE7,2017-05-19,7,gillian;gillian.sadlierbrown,ondine,FISH_2017-05-19_CHOKED_PASS_EDGE7_3,MGFSH11575,fish,,,2017-05-19T22:28:32.000Z,2017-05-19T22:33:56.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE7,2017-05-19,7,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE7_6,MGFSH11576,fish,,,2017-05-19T22:36:37.000Z,2017-05-19T22:39:55.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2017-05-19,6,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_INTERIOR6_3,MGFSH2,fish,,,2017-05-19T16:41:13.000Z,2017-05-19T16:46:19.000Z,flounder/sole_dab,1,4,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2017-05-19,6,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_INTERIOR6_3,MGFSH1,fish,,,2017-05-19T16:41:13.000Z,2017-05-19T16:46:19.000Z,flounder/sole_dab,1,3,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR6,2017-05-19,6,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_INTERIOR6_4,MGFSH3,fish,,,2017-05-19T16:46:00.000Z,2017-05-19T16:50:09.000Z,three spine stickleback (thst),3,5,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-05-19,5,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_INTERIOR5_2,MGFSH5,fish,,,2017-05-19T17:12:27.000Z,2017-05-19T17:16:39.000Z,arrow tooth flounder,1,13,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-05-19,5,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_INTERIOR5_2,MGFSH4,fish,,,2017-05-19T17:12:27.000Z,2017-05-19T17:16:39.000Z,flounder/sole_dab,1,4,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR5,2017-05-19,5,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_INTERIOR5_3,MGFSH6,fish,,,2017-05-19T17:17:06.000Z,2017-05-19T17:22:15.000Z,flounder/sole_dab,,3,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2017-05-19,4,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_INTERIOR4_1,MGFSH11603,fish,,,2017-05-19T17:45:19.000Z,2017-05-19T17:49:32.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_INTERIOR4,2017-05-19,4,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_INTERIOR4_4,MGFSH11604,fish,,,2017-05-19T17:50:44.000Z,2017-05-19T17:54:58.000Z,no_obs,,,,,1: No fish observed
