"","date","survey","site_id","n_fish_surveys","n_events","issue"
"189","2017-08-25","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"190","2017-09-01","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"191","2017-09-01","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4",NA,1,"both surveys missing"
"192","2017-09-01","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"193","2017-11-18","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"194","2017-11-22","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"195","2018-02-21","CHOKED_PASS","CHOKED_PASS_EDGE1",NA,1,"both surveys missing"
"196","2018-02-21","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"197","2018-05-23","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"198","2018-05-23","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
"199","2018-05-23","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"200","2018-05-24","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE2",NA,1,"both surveys missing"
"201","2018-05-24","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"202","2018-05-24","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"203","2018-06-25","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",NA,1,"both surveys missing"
"204","2018-06-25","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4",NA,1,"both surveys missing"
"205","2018-06-25","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5",NA,1,"both surveys missing"
"206","2018-08-11","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",NA,1,"both surveys missing"
"207","2018-08-11","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"208","2018-08-11","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4",NA,1,"both surveys missing"
"209","2018-08-11","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"210","2019-02-12","PRUTH_BAY","PRUTH_BAY_EDGE1",NA,1,"both surveys missing"
"211","2019-02-12","PRUTH_BAY","PRUTH_BAY_EDGE3",NA,1,"both surveys missing"
"212","2019-02-12","PRUTH_BAY","PRUTH_BAY_INTERIOR5",NA,1,"both surveys missing"
"213","2019-02-12","PRUTH_BAY","PRUTH_BAY_INTERIOR6",NA,1,"both surveys missing"
"214","2019-08-05","PRUTH_BAY","PRUTH_BAY_INTERIOR4",NA,1,"both surveys missing"
"215","2019-08-05","PRUTH_BAY","PRUTH_BAY_INTERIOR5",NA,1,"both surveys missing"
"216","2019-08-05","PRUTH_BAY","PRUTH_BAY_INTERIOR6",NA,1,"both surveys missing"
"217","2019-08-06","CHOKED_PASS","CHOKED_PASS_EDGE2",NA,1,"both surveys missing"
"218","2019-08-06","CHOKED_PASS","CHOKED_PASS_EDGE3",NA,1,"both surveys missing"
"219","2019-08-06","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"220","2019-08-16","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"221","2019-08-16","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR5",NA,1,"both surveys missing"
"222","2019-08-16","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"223","2020-07-30","CHOKED_PASS","CHOKED_PASS_EDGE7",NA,1,"both surveys missing"
"224","2020-07-30","CHOKED_PASS","CHOKED_PASS_INTERIOR4",NA,1,"both surveys missing"
"225","2020-07-30","CHOKED_PASS","CHOKED_PASS_INTERIOR5",NA,1,"both surveys missing"
