"","action","work_area","organization","project","date","site_id","sampling_bout","survey","hakai_id","field_staff","gather_lat","gather_long","vessel","samples","quality_level","comments","quality_log"
"82",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-15,"CHOKED_PASS_EDGE2",2,"CHOKED_PASS","2016-05-15_CHOKED_PASS_EDGE2_2","Zach",NA,NA,NA,NA,"Raw",NA,NA
"83",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-15,"CHOKED_PASS_EDGE3",3,"CHOKED_PASS","2016-05-15_CHOKED_PASS_EDGE3_3","Zach",NA,NA,NA,NA,"Raw",NA,NA
"84",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-15,"CHOKED_PASS_EDGE7",7,"CHOKED_PASS","2016-05-15_CHOKED_PASS_EDGE7_7","Zach",NA,NA,NA,NA,"Raw",NA,NA
"85",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-15,"CHOKED_PASS_INTERIOR6",6,"CHOKED_PASS","2016-05-15_CHOKED_PASS_INTERIOR6_6","Zach",NA,NA,NA,NA,"Raw",NA,NA
"86",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-16,"CHOKED_PASS_INTERIOR5",5,"CHOKED_PASS","2016-05-16_CHOKED_PASS_INTERIOR5_5","Zach",NA,NA,NA,NA,"Raw",NA,NA
"87",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-30,"KOEYE_ESTUARY_EDGE1",1,"KOEYE_ESTUARY","2016-05-30_KOEYE_ESTUARY_EDGE1_1","Zach",NA,NA,NA,NA,"Raw",NA,NA
"88",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-30,"KOEYE_ESTUARY_EDGE2",2,"KOEYE_ESTUARY","2016-05-30_KOEYE_ESTUARY_EDGE2_2","Zach",NA,NA,NA,NA,"Raw",NA,NA
"89",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-30,"KOEYE_ESTUARY_EDGE3",3,"KOEYE_ESTUARY","2016-05-30_KOEYE_ESTUARY_EDGE3_3","Zach",NA,NA,NA,NA,"Raw",NA,NA
"90",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-30,"KOEYE_ESTUARY_INTERIOR4",4,"KOEYE_ESTUARY","2016-05-30_KOEYE_ESTUARY_INTERIOR4_4","Zach",NA,NA,NA,NA,"Raw",NA,NA
"91",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-30,"KOEYE_ESTUARY_INTERIOR5",5,"KOEYE_ESTUARY","2016-05-30_KOEYE_ESTUARY_INTERIOR5_5","Zach",NA,NA,NA,NA,"Raw",NA,NA
"92",NA,"CALVERT","HAKAI","MARINEGEO",2016-05-30,"KOEYE_ESTUARY_INTERIOR6",6,"KOEYE_ESTUARY","2016-05-30_KOEYE_ESTUARY_INTERIOR6_6","Zach",NA,NA,NA,NA,"Raw",NA,NA
"93",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-16,"PRUTH_BAY_EDGE1",1,"PRUTH_BAY","2016-06-16_PRUTH_BAY_EDGE1_1","Ondine",NA,NA,NA,NA,"Raw",NA,NA
"94",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-16,"PRUTH_BAY_EDGE2",2,"PRUTH_BAY","2016-06-16_PRUTH_BAY_EDGE2_2","Ondine",NA,NA,NA,NA,"Raw",NA,NA
"95",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-16,"PRUTH_BAY_EDGE3",3,"PRUTH_BAY","2016-06-16_PRUTH_BAY_EDGE3_3","Ondine",NA,NA,NA,NA,"Raw",NA,NA
"96",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-16,"PRUTH_BAY_INTERIOR4",4,"PRUTH_BAY","2016-06-16_PRUTH_BAY_INTERIOR4_4","Ondine",NA,NA,NA,NA,"Raw",NA,NA
"97",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-16,"PRUTH_BAY_INTERIOR5",5,"PRUTH_BAY","2016-06-16_PRUTH_BAY_INTERIOR5_5","Ondine",NA,NA,NA,NA,"Raw",NA,NA
"98",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-16,"PRUTH_BAY_INTERIOR6",6,"PRUTH_BAY","2016-06-16_PRUTH_BAY_INTERIOR6_6","Ondine",NA,NA,NA,NA,"Raw",NA,NA
"99",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"ESTUARY_EDGE1",1,"KOEYE_ESTUARY ESTUARY","2016-06-18_ESTUARY_EDGE1_1","Derek",NA,NA,NA,NA,"Raw",NA,NA
"100",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"ESTUARY_EDGE2",2,"KOEYE_ESTUARY ESTUARY","2016-06-18_ESTUARY_EDGE2_2","Derek",NA,NA,NA,NA,"Raw",NA,NA
"101",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"ESTUARY_INTERIOR4",4,"KOEYE_ESTUARY ESTUARY","2016-06-18_ESTUARY_INTERIOR4_4","Derek",NA,NA,NA,NA,"Raw",NA,NA
"102",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"KOEYE_ESTUARY_EDGE1",1,"KOEYE_ESTUARY","2016-06-18_KOEYE_ESTUARY_EDGE1_1","Derek",NA,NA,NA,NA,"Raw",NA,NA
"103",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"KOEYE_ESTUARY_EDGE2",2,"KOEYE_ESTUARY","2016-06-18_KOEYE_ESTUARY_EDGE2_2","Derek",NA,NA,NA,NA,"Raw",NA,NA
"104",NA,"CALVERT","HAKAI","FGS",2016-06-18,"KOEYE_ESTUARY_ESTUARY_EDGE1",1,"KOEYE_ESTUARY_ESTUARY","2016-06-18_KOEYE_ESTUARY_ESTUARY_EDGE1_1",NA,NA,NA,NA,NA,"Raw",NA,NA
"105",NA,"CALVERT","HAKAI","FGS",2016-06-18,"KOEYE_ESTUARY_ESTUARY_EDGE2",2,"KOEYE_ESTUARY_ESTUARY","2016-06-18_KOEYE_ESTUARY_ESTUARY_EDGE2_2",NA,NA,NA,NA,NA,"Raw",NA,NA
"106",NA,"CALVERT","HAKAI","FGS",2016-06-18,"KOEYE_ESTUARY_ESTUARY_INTERIOR4",4,"KOEYE_ESTUARY_ESTUARY","2016-06-18_KOEYE_ESTUARY_ESTUARY_INTERIOR4_4",NA,NA,NA,NA,NA,"Raw",NA,NA
"107",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"KOEYE_ESTUARY_INTERIOR4",4,"KOEYE_ESTUARY","2016-06-18_KOEYE_ESTUARY_INTERIOR4_4","Derek",NA,NA,NA,NA,"Raw",NA,NA
"108",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"KOEYE_KOEYE_ESTUARY_EDGE1",1,"KOEYE_ESTUARY","2016-06-18_KOEYE_KOEYE_ESTUARY_EDGE1_1","Derek",NA,NA,NA,NA,"Raw",NA,NA
"109",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"KOEYE_KOEYE_ESTUARY_EDGE2",2,"KOEYE_ESTUARY","2016-06-18_KOEYE_KOEYE_ESTUARY_EDGE2_2","Derek",NA,NA,NA,NA,"Raw",NA,NA
"110",NA,"CALVERT","HAKAI","MARINEGEO",2016-06-18,"KOEYE_KOEYE_ESTUARY_INTERIOR4",4,"KOEYE_ESTUARY","2016-06-18_KOEYE_KOEYE_ESTUARY_INTERIOR4_4","Derek",NA,NA,NA,NA,"Raw",NA,NA
